Product Number,Part number,SKU - Description,Price,Category,Category Number
489959,62351,489959-BELT CLOTH 3X21 G120 2920,1.58,PAINT / SUNDRIES,930
489964,5052.5920.0036,489964-BELT CLOTH 3X24 G36 SIA 2920,1.7,PAINT / SUNDRIES,930
489964,62375,489964-BELT CLOTH 3X24 G36 SIA 2920,1.79,PAINT / SUNDRIES,930
489965,5052.5920.0050,489965-BELT CLOTH 3X24 G50 SIA 2920,1.59,PAINT / SUNDRIES,930
489965,62412,489965-BELT CLOTH 3X24 G50 SIA 2920,1.59,PAINT / SUNDRIES,930
489966,5052.5920.0080,489966-BELT CLOTH 3X24 G80 SIA 2920,1.54,PAINT / SUNDRIES,930
489966,62450,489966-BELT CLOTH 3X24 G80 SIA 2920,1.59,PAINT / SUNDRIES,930
489967,62474,489967-BELT CLOTH 3X24 G100 2920,1.25,PAINT / SUNDRIES,930
489968,5052.5920.0120,489968-BELT CLOTH 3X24 G120 2920,1.54,PAINT / SUNDRIES,930
489968,62498,489968-BELT CLOTH 3X24 G120 2920,1.59,PAINT / SUNDRIES,930
489969,62733,489969-BELT CLOTH 4X24 G36(2920)62740,1.96,PAINT / SUNDRIES,930
489969,8037.6118.0036,489969-BELT CLOTH 4X24 G36(2920)62740,2.24,PAINT / SUNDRIES,930
489970,62771,489970-BELT CL. 4X24 G50(2920)62788,2.2,PAINT / SUNDRIES,930
489970,8037.6118.0050,489970-BELT CL. 4X24 G50(2920)62788,2.2,PAINT / SUNDRIES,930
489971,62818,489971-BELT CLOTH 4X24 G80 SIA 2920,2.11,PAINT / SUNDRIES,930
489971,8037.6118.0080,489971-BELT CLOTH 4X24 G80 SIA 2920,2.09,PAINT / SUNDRIES,930
489972,62856,489972-BELT CL. 4X24 G120(2920)62863,2.09,PAINT / SUNDRIES,930
489973,4661.8394.0050,489973-BELT CLOTH 4X36 G50 SIA 2920,2.74,PAINT / SUNDRIES,930
